id,positionId,nickname,lastSeasonPoints,playerStatus,marketValue,points,averagePoints,teamId,fecha_actualizacion
68,1,Unai Simón,211,ok,54032285,0,0,3,2026-08-16T22:07:24
140,1,Iván Villar,0,ok,963997,0,0,6,2026-08-16T22:07:24
184,1,David Soria,249,ok,19976720,4,4,9,2026-08-16T22:07:24
204,1,Aitor Fdez,8,ok,498466,0,0,13,2026-08-16T22:07:24
230,1,Courtois,212,ok,60825268,0,0,15,2026-08-16T22:07:24
274,1,Remiro,188,ok,43040286,0,0,16,2026-08-16T22:07:24
644,1,Sergio Herrera,217,ok,39602509,0,0,13,2026-08-16T22:07:24
988,1,Sivera,171,ok,31592971,12,12,21,2026-08-16T22:07:24
1219,1,Agirrezabala,104,ok,2802725,5,5,49,2026-08-16T22:07:24
2321,1,J. Musso,48,ok,4422796,0,0,2,2026-08-16T22:07:24
2322,1,Oblak,208,ok,52330272,0,0,2,2026-08-16T22:07:24
2351,1,Iñaki Peña,102,out_of_league,4015501,0,0,7,2026-08-16T22:07:24
2363,1,Letacek,0,ok,696155,0,0,9,2026-08-16T22:07:24
2378,1,D. Cárdenas,35,ok,586960,0,0,14,2026-08-16T22:07:24
2413,1,Adrián,10,out_of_league,1907121,0,0,5,2026-08-16T22:07:24
2423,1,Lunin,39,ok,2144162,0,0,15,2026-08-16T22:07:24
2435,1,Marrero,8,ok,1124857,0,0,16,2026-08-16T22:07:24
2457,1,Dimitrievski,118,ok,14397928,0,0,18,2026-08-16T22:07:24
2467,1,Júnior R.,200,ok,38033274,3,3,20,2026-08-16T22:07:24
2468,1,Diego Conde,0,out_of_league,3041589,0,0,5,2026-08-16T22:07:24
2507,1,Dmitrovic,222,ok,37560135,0,0,8,2026-08-16T22:07:24
2519,1,A. Batalla,213,ok,40067753,5,5,14,2026-08-16T22:07:24
2540,1,C. Rivero,-3,ok,490094,0,0,18,2026-08-16T22:07:24
2541,1,Á. Valles,185,ok,33113508,0,0,5,2026-08-16T22:07:24
2565,1,A. Fortuño,7,ok,538874,0,0,8,2026-08-16T22:07:24
2567,1,Raúl Fernández,0,out_of_league,903475,0,0,21,2026-08-16T22:07:24
2579,1,Fran González,0,ok,667407,0,0,17,2026-08-16T22:07:24
2597,1,Marc Vidal,,out_of_league,1003764,0,0,6,2026-08-16T22:07:24
2610,1,Pau López,61,out_of_league,2634421,0,0,5,2026-08-16T22:07:24
2613,1,M. Dituro,137,ok,7572315,0,0,7,2026-08-16T22:07:24
2634,1,Joan García,258,ok,68689669,0,0,4,2026-08-16T22:07:24
2643,1,Esquivel,0,out_of_league,602292,0,0,2,2026-08-16T22:07:24
2644,1,Padilla,-3,out_of_league,1505588,0,0,3,2026-08-16T22:07:24
2647,1,Kochen,0,out_of_league,677941,0,0,4,2026-08-16T22:07:24
2658,1,Tristán,0,out_of_league,501872,0,0,8,2026-08-16T22:07:24
2666,1,P. Campos,14,ok,1056067,0,0,11,2026-08-16T22:07:24
2667,1,A. Primo,0,out_of_league,1104126,0,0,11,2026-08-16T22:07:24
2668,1,Cayetano,0,out_of_league,602249,0,0,11,2026-08-16T22:07:24
2677,1,Rafa Romero,0,out_of_league,602257,0,0,17,2026-08-16T22:07:24
2696,1,Ruben,0,ok,565082,0,0,20,2026-08-16T22:07:24
2713,1,Ionut Radu,254,ok,38934871,0,0,6,2026-08-16T22:07:24
2715,1,A. Iturbe,0,out_of_league,802099,0,0,7,2026-08-16T22:07:24
2719,1,Stamatakis,0,out_of_league,602319,0,0,13,2026-08-16T22:07:24
2722,1,Mestre,0,out_of_league,677860,0,0,15,2026-08-16T22:07:24
2724,1,Adrián Molina,0,out_of_league,602234,0,0,14,2026-08-16T22:07:24
2744,1,Juanpe Gil,0,out_of_league,602234,0,0,14,2026-08-16T22:07:24
2747,1,Alberto F.,0,out_of_league,702633,0,0,17,2026-08-16T22:07:24
2749,1,Swiderski,0,out_of_league,602316,0,0,21,2026-08-16T22:07:24
2755,1,Ryan,229,out_of_league,13550652,0,0,11,2026-08-16T22:07:24
2758,1,Arnau Tenas,50,out_of_league,6597370,0,0,20,2026-08-16T22:07:24
2759,1,Vlachodimos,155,ok,18343601,6,6,17,2026-08-16T22:07:24
2783,1,Szczesny,41,ok,2308693,0,0,4,2026-08-16T22:07:24
2791,1,Montero,0,out_of_league,602316,0,0,21,2026-08-16T22:07:24
2792,1,Folgado,0,out_of_league,702606,0,0,16,2026-08-16T22:07:24
2793,1,Germán,0,out_of_league,702622,0,0,5,2026-08-16T22:07:24
2794,1,Manu G.,0,out_of_league,581691,0,0,5,2026-08-16T22:07:24
2809,1,M. Santos,0,out_of_league,702606,0,0,3,2026-08-16T22:07:24
2819,1,Ferrer,0,out_of_league,702705,0,0,9,2026-08-16T22:07:24
2820,1,J. Benito,0,out_of_league,602319,0,0,9,2026-08-16T22:07:24
2823,1,Eder Aller,0,out_of_league,702705,0,0,4,2026-08-16T22:07:24
2835,1,Fraga,0,out_of_league,602234,0,0,16,2026-08-16T22:07:24
2837,1,Javi Navarro,0,out_of_league,702622,0,0,15,2026-08-16T22:07:24
2966,1,Bachmann,,out_of_league,501880,0,0,26,2026-08-16T22:07:24
2971,1,Rios,,out_of_league,903386,0,0,26,2026-08-16T22:07:24
2975,1,A. Ferllo,,ok,4650459,0,0,26,2026-08-16T22:07:24
2983,1,Eric Puerto,,out_of_league,367523,0,0,26,2026-08-16T22:07:24
2988,1,Germán,,ok,593635,0,0,26,2026-08-16T22:07:24
3001,1,Jokin Ezkieta,,out_of_league,5949251,0,0,49,2026-08-16T22:07:24
3016,1,Alvaro J.,,out_of_league,602234,0,0,49,2026-08-16T22:07:24
3018,1,Eriksson,,ok,2908104,0,0,49,2026-08-16T22:07:24
3021,1,Andreev,,out_of_league,601574,0,0,49,2026-08-16T22:07:24
3029,1,Laro,,out_of_league,602234,0,0,49,2026-08-16T22:07:24
3040,1,A. Herrero,,ok,8323282,0,0,12,2026-08-16T22:07:24
3057,1,Carlos Lopez,,ok,383785,0,0,12,2026-08-16T22:07:24
3061,1,Andrés,,out_of_league,401498,0,0,12,2026-08-16T22:07:24
3109,1,Leo Román,,ok,36829681,0,0,26,2026-08-16T22:07:24
3118,1,Moldovan,,out_of_league,500000,0,0,2,2026-08-16T22:07:24
3130,1,Gulácsi,,ok,4252169,0,0,20,2026-08-16T22:07:24
3141,1,Owono,,ok,919675,0,0,21,2026-08-16T22:07:24
3160,1,A. Rodriguez,,ok,1021007,0,0,21,2026-08-16T22:07:24
67,2,Marcos Llorente,154,ok,50412682,0,0,2,2026-08-16T22:07:24
74,2,Yuri,163,ok,12494580,0,0,3,2026-08-16T22:07:24
77,2,Yeray,28,ok,4711880,0,0,3,2026-08-16T22:07:24
121,2,Bartra,140,ok,27886319,0,0,5,2026-08-16T22:07:24
255,2,Le Normand,125,ok,10144161,0,0,2,2026-08-16T22:07:24
265,2,Zubeldia,90,ok,10047248,0,0,16,2026-08-16T22:07:24
302,2,Gayá,135,ok,10919145,0,0,18,2026-08-16T22:07:24
673,2,Domingos Duarte,181,out_of_league,8021003,0,0,9,2026-08-16T22:07:24
1033,2,Catena,183,ok,33949160,0,0,13,2026-08-16T22:07:24
1056,2,Pedrosa,59,out_of_league,3312788,0,0,7,2026-08-16T22:07:24
1121,2,Balliu,32,ok,968786,-2,-2,14,2026-08-16T22:07:24
1147,2,Juan Iglesias,161,ok,11807962,4,4,17,2026-08-16T22:07:24
1218,2,Álex Balde,116,ok,23283990,0,0,4,2026-08-16T22:07:24
1251,2,Carmona,104,ok,4337315,0,0,17,2026-08-16T22:07:24
1337,2,Tenaglia,173,ok,14472093,17,17,21,2026-08-16T22:07:24
1535,2,Chavarría,152,out_of_league,17526407,0,0,14,2026-08-16T22:07:24
1614,2,Cardona,123,ok,4684635,0,0,20,2026-08-16T22:07:24
1775,2,Pau Cubarsí,187,ok,77521144,0,0,4,2026-08-16T22:07:24
1890,2,Boyomo,121,ok,28167229,0,0,13,2026-08-16T22:07:24
1930,2,El Hilali,101,ok,8970454,0,0,8,2026-08-16T22:07:24
1959,2,Mouriño,127,ok,40219248,-1,-1,20,2026-08-16T22:07:24
1989,2,Sergio Gómez,173,ok,17896815,0,0,16,2026-08-16T22:07:24
1991,2,Tárrega,127,ok,9056528,0,0,18,2026-08-16T22:07:24
2005,2,Abel Bretones,86,ok,3864534,0,0,13,2026-08-16T22:07:24
2074,2,Javi Rodríguez,132,ok,9142733,0,0,6,2026-08-16T22:07:24
2146,2,Asencio,109,injured,4444562,0,0,15,2026-08-16T22:07:24
2178,2,F. Garcés,43,suspended,608200,0,0,21,2026-08-16T22:07:24
2206,2,Yoel Lago,44,out_of_league,702633,0,0,6,2026-08-16T22:07:24
2293,2,John C.,38,ok,677560,0,0,7,2026-08-16T22:07:24
2294,2,R.P. Bigas,131,doubtful,5051643,0,0,7,2026-08-16T22:07:24
2300,2,Dela,153,out_of_league,14052528,0,0,11,2026-08-16T22:07:24
2314,2,Vivian,124,injured,10512541,0,0,3,2026-08-16T22:07:24
2315,2,Paredes,91,ok,5141603,0,0,3,2026-08-16T22:07:24
2316,2,Gorosabel,60,ok,2276633,0,0,3,2026-08-16T22:07:24
2323,2,Lenglet,84,out_of_league,2906079,0,0,2,2026-08-16T22:07:24
